Company,Date,Close/Last,Volume,Open,High,Low,Anomaly
NFLX,2020-12-21,528.91,3893964,530.05,532.62,521.15,-1
NFLX,2020-12-18,534.45,4502692,533.2,536.37,526.02,-1
NFLX,2020-12-17,532.9,3193377,529.0,535.49,526.44,-1
NFLX,2020-12-16,524.83,3682392,520.11,527.38,517.69,-1
NFLX,2020-12-15,519.78,3398209,518.5,524.7,513.56,-1
NFLX,2020-12-14,522.42,5770424,505.44,524.1603,501.18,-1
NFLX,2020-10-21,489.05,17405710,501.03,506.85,488.25,-1
NFLX,2020-10-20,525.42,10047180,528.14,533.78,522.26,-1
NFLX,2020-10-19,530.72,7567506,537.07,541.8,525.38,-1
NFLX,2020-10-16,530.79,6347363,549.5,554.33,530.03,-1
NFLX,2020-10-15,541.94,5113126,545.52,551.22,535.1,-1
NFLX,2020-10-14,541.45,9510081,562.61,572.49,541.0,-1
NFLX,2020-10-13,554.09,5602498,540.56,557.65,537.2,-1
NFLX,2020-08-31,529.56,4941409,521.16,531.99,517.58,-1
NFLX,2020-08-28,523.89,4417517,532.0,539.0,522.0,-1
NFLX,2020-08-27,526.27,9062912,537.775,541.0,521.2471,-1
NFLX,2020-08-26,547.53,20373680,492.5,549.04,492.075,-1
NFLX,2020-07-21,490.1,9127218,506.0,506.22,488.61,-1
NFLX,2020-07-17,492.99,24991350,494.87,503.59,484.14,-1
NFLX,2020-07-16,527.39,24498990,526.48,535.54,504.3627,-1
NFLX,2020-07-15,523.26,10066650,516.3,529.0,510.18,-1
NFLX,2020-07-14,524.88,15083300,517.08,525.5,490.49,-1
NFLX,2020-07-13,525.5,18399020,567.98,575.37,520.96,-1
